"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"INS",-23.4014934562518,1.95186288282135e-12,898243,5.90404645950571e-10,"DOWN",0.00180831826401447
"RBP4",-2.22443504967488,5.34858406093642e-07,74515,6.01992130078032e-06,"DOWN",0.00361663652802893
"TTR",-1.10779543035665,6.67972527586053e-13,41690,2.69400128547348e-10,"DOWN",0.0054249547920434
"RPL34",-0.657637831846214,1.23023764798768e-11,26017,2.29000330327533e-09,"DOWN",0.00723327305605787
"RPS29",-0.416876281908247,4.92184422778796e-11,10307,5.17833897899126e-09,"DOWN",0.00904159132007233
"RPL38",-0.405093928929295,5.85012406756743e-11,11502,5.89853665657517e-09,"DOWN",0.0108499095840868
"RPL37A",-0.350987811702366,1.00665874709517e-10,14005,8.11991465729299e-09,"DOWN",0.0126582278481013
"RPLP1",-0.344937172477744,1.26850396958606e-10,23745,9.59251087309727e-09,"DOWN",0.0144665461121157
"RPL31",-0.33493837540631,1.75657114557624e-10,17638,1.21447379399855e-08,"DOWN",0.0162748643761302
"RPL35A",-0.327255780786823,2.29314724229015e-10,15879,1.37622427928154e-08,"DOWN",0.0180831826401447
"CLU",-0.323671811414712,7.6677228130546e-11,8680,6.87215724929887e-09,"DOWN",0.0198915009041591
"RPL11",-0.298102442380609,9.77354952090789e-09,24929,2.41332987959087e-07,"DOWN",0.0216998191681736
"RPL23",-0.24391063676502,4.53570353437479e-09,15008,1.30663961759566e-07,"DOWN",0.0235081374321881
"RPS21",-0.238145145086295,6.04486497049421e-12,8049,1.32979399289282e-09,"DOWN",0.0253164556962025
"RPS6",-0.233678495135451,0.000555599224929865,38586,0.00170186453350216,"DOWN",0.027124773960217
"RPS24",-0.227582947414463,1.20641812431832e-10,13781,9.41730436848192e-09,"DOWN",0.0289330922242315
"RPS28",-0.214205001631891,6.29696064764849e-10,5170,2.82180934407358e-08,"DOWN",0.0307414104882459
"COX7C",-0.189540720943493,3.71075547454911e-11,7903,4.16034152700257e-09,"DOWN",0.0325497287522604
"RPL27A",-0.181449753585589,1.86073809095759e-09,12209,6.34187017412541e-08,"DOWN",0.0343580470162749
"RPL36",-0.17502046319664,2.22168836836501e-11,6121,3.2079673185001e-09,"DOWN",0.0361663652802893
"RPS12",-0.169927880997653,0.000117816000320544,18491,0.000507292459905712,"DOWN",0.0379746835443038
"UQCRB",-0.15979747011155,2.33175342985606e-10,8120,1.37622427928154e-08,"DOWN",0.0397830018083183
"RPLP2",-0.152641032659399,2.7219101821759e-07,12245,3.63903022865752e-06,"DOWN",0.0415913200723327
"RPL32",-0.151385943584548,2.22406596220695e-09,10036,7.08148792808357e-08,"DOWN",0.0433996383363472
"HIST1H4C",-0.140061090806761,3.09197422705314e-10,4067,1.74003449313295e-08,"DOWN",0.0452079566003617
"RPS8",-0.138569470720092,0.000114956160065666,24151,0.000498526785176116,"DOWN",0.0470162748643761
"RPL37",-0.132471354417174,1.03874140067031e-09,5660,3.98496485887644e-08,"DOWN",0.0488245931283906
"RPS25",-0.132243296799904,5.52837957413264e-08,9068,9.62439638466294e-07,"DOWN",0.0506329113924051
"BEX1",-0.129894952069437,1.49366478528624e-06,10515,1.38485110752982e-05,"DOWN",0.0524412296564195
"RPL27",-0.128544930952411,4.42226009904967e-08,9659,7.98601151157558e-07,"DOWN",0.054249547920434
"ATP5E",-0.12329810639746,6.99300329593299e-10,4104,2.91760293516223e-08,"DOWN",0.0560578661844485
"ATP5I",-0.120854023259913,3.78234567102564e-11,3462,4.16034152700257e-09,"DOWN",0.0578661844484629
"DBI",-0.118543812162362,4.27787633385218e-10,6211,2.25040581758181e-08,"DOWN",0.0596745027124774
"RPL26",-0.116958116872675,5.03049693482321e-07,11631,5.74203024371948e-06,"DOWN",0.0614828209764919
"RPS15A",-0.113564453717357,1.92978616927619e-06,10526,1.70431189273502e-05,"DOWN",0.0632911392405063
"RPS27A",-0.112422049070841,2.10264093691025e-05,11434,0.000124708311851318,"DOWN",0.0650994575045208
"RPL30",-0.111745408953338,0.000922721695620013,14893,0.00247545275716412,"DOWN",0.0669077757685353
"RPS13",-0.110613413739057,4.91584499317531e-05,13484,0.000249908872623707,"DOWN",0.0687160940325497
"RPS15",-0.109719477738011,3.54405735323312e-08,6979,6.97246074454051e-07,"DOWN",0.0705244122965642
"UQCRQ",-0.108434688667771,2.47563944859542e-10,5454,1.42635803151687e-08,"DOWN",0.0723327305605787
"RPL35",-0.105660524435567,9.95520212863051e-10,6185,3.88551724337058e-08,"DOWN",0.0741410488245931
"RPS14",-0.103901052573167,0.000882649950484965,20302,0.00242439310731712,"DOWN",0.0759493670886076
"ATP5L",-0.103521514938595,2.22494508364429e-10,5231,1.37622427928154e-08,"DOWN",0.0777576853526221
"ROMO1",-0.100797669044236,2.55555276293103e-11,3272,3.43560158744432e-09,"DOWN",0.0795660036166365
"COX8A",-0.097133954614039,7.93249938661218e-09,5434,2.02058390714574e-07,"DOWN",0.081374321880651
"DSP",-0.0955999040807988,4.90821318148585e-08,7713,8.70484733502054e-07,"DOWN",0.0831826401446655
"COX17",-0.0934524318692278,1.37600065058843e-11,3522,2.37837894421918e-09,"DOWN",0.0849909584086799
"SERF2",-0.0917393044082855,2.15746318064635e-09,6661,6.9610151220169e-08,"DOWN",0.0867992766726944
"ERO1B",-0.0891448369472428,2.39329986419054e-05,9658,0.000138551516044324,"DOWN",0.0886075949367089
"NDUFB1",-0.0883499771108191,8.50923387035194e-10,2829,3.49002787985084e-08,"DOWN",0.0904159132007233
"NDUFA1",-0.0871277071576531,8.97866292693999e-11,3240,7.49210952744943e-09,"DOWN",0.0922242314647378
"TOMM7",-0.0854086607064565,1.82573020492647e-09,4433,6.31144800021012e-08,"DOWN",0.0940325497287523
"DSTN",-0.0820730335070455,2.98296352394601e-07,8859,3.88083739498856e-06,"DOWN",0.0958408679927667
"COX7A2",-0.0819746417597338,4.33386136085325e-09,5365,1.27894423815956e-07,"DOWN",0.0976491862567812
"TCEB2",-0.0818575892613627,1.20297545398811e-08,4131,2.82624618449721e-07,"DOWN",0.0994575045207957
"TCEAL4",-0.0805929025949963,7.58509143557976e-08,4997,1.24863048385537e-06,"DOWN",0.10126582278481
"SCGB2A1",-0.0797166121834146,8.61065868292825e-07,3489,8.82906714199182e-06,"DOWN",0.103074141048825
"COX6C",-0.0791996471915962,1.36467792192378e-08,6191,3.14507722919687e-07,"DOWN",0.104882459312839
"FAU",-0.0791836757816194,6.5788865333953e-06,9146,4.7807783655121e-05,"DOWN",0.106690777576854
"NDUFA3",-0.0767426233347442,1.91958342928443e-10,2174,1.29031260331277e-08,"DOWN",0.108499095840868
"MRPL33",-0.0757864472965336,4.73227997415775e-12,2764,1.14514604781787e-09,"DOWN",0.110307414104882
"SLIRP",-0.0723936682683678,1.05134725902591e-08,2683,2.54411439122841e-07,"DOWN",0.112115732368897
"USMG5",-0.0705265514160871,7.18495891103183e-11,3165,6.73142095655761e-09,"DOWN",0.113924050632911
"TMEM258",-0.070257730648848,3.03129857918323e-11,2711,3.86069561958532e-09,"DOWN",0.115732368896926
"TBCA",-0.0674060874446869,1.67225959246919e-08,3235,3.74688521001668e-07,"DOWN",0.11754068716094
"ATPIF1",-0.0672528052702943,6.23836903565176e-10,3425,2.82180934407358e-08,"DOWN",0.119349005424955
"BEX2",-0.0659592761673011,1.11033661534397e-05,5864,7.28146461535977e-05,"DOWN",0.121157323688969
"SON",-0.0658886701154746,3.60186715951071e-07,4023,4.46975303605247e-06,"DOWN",0.122965641952984
"RPL12",-0.0654488962648607,2.00855038329604e-06,7704,1.76385251899659e-05,"DOWN",0.124773960216998
"YWHAE",-0.065168725650221,3.76985898769862e-08,4567,7.24435096189286e-07,"DOWN",0.126582278481013
"HMGN2",-0.0648301541869112,3.37292199278073e-09,2329,1.03316492468246e-07,"DOWN",0.128390596745027
"UBL5",-0.0644140162575342,1.41815629248266e-09,3481,5.12200197334104e-08,"DOWN",0.130198915009042
"CALM2",-0.0626577089906725,0.0106452974412714,15201,0.0155181576797283,"DOWN",0.132007233273056
"SNHG6",-0.0615967411771817,4.52101752173234e-10,3038,2.32770950559713e-08,"DOWN",0.133815551537071
"RPL24",-0.060475889131953,0.000289095455705688,8762,0.00101240356438584,"DOWN",0.135623869801085
"C14orf2",-0.0587220362831559,1.52750386062004e-09,2824,5.35702500656844e-08,"DOWN",0.137432188065099
"RPS11",-0.0586116625722463,0.0263917838326043,16491,0.0290209031133091,"DOWN",0.139240506329114
"SNHG8",-0.0583829346982971,1.96532781175694e-09,3141,6.51482250147113e-08,"DOWN",0.141048824593128
"NDUFB2",-0.0577009096401803,4.92823351887362e-08,3886,8.70484733502054e-07,"DOWN",0.142857142857143
"POLR2L",-0.057153906413023,3.01959927523795e-08,2255,6.11245680525384e-07,"DOWN",0.144665461121157
"SVIP",-0.0570666921366211,1.31455726351737e-06,3162,1.25238033715676e-05,"DOWN",0.146473779385172
"ZFAS1",-0.0540748447426152,4.05254764979021e-08,3253,7.66140830584921e-07,"DOWN",0.148282097649186
"UQCR11",-0.0536790949419259,9.33740043315047e-07,3648,9.41467191053279e-06,"DOWN",0.150090415913201
"TPM3",-0.0523501452493389,1.2095585931024e-05,5515,7.76382984786359e-05,"DOWN",0.151898734177215
"MIF",-0.051589529577048,0.00427489176489264,10625,0.0078846375902366,"DOWN",0.15370705244123
"RPL36AL",-0.0509905708585981,1.21467189562479e-07,5133,1.82567536322108e-06,"DOWN",0.155515370705244
"SRP14",-0.0509059176180163,1.04726029772848e-05,6904,6.958636285846e-05,"DOWN",0.157323688969259
"SCGN",-0.0506020366566254,0.0311501158883755,11718,0.0321719826604306,"DOWN",0.159132007233273
"RPL14",-0.0504471341031418,0.000408746579512236,8120,0.00134025741123816,"DOWN",0.160940325497288
"RPL39",-0.049959539979583,4.69492010287383e-10,1442,2.33382963052658e-08,"DOWN",0.162748643761302
"COMMD6",-0.0497817089701897,3.70388975098057e-07,2823,4.54969488639904e-06,"DOWN",0.164556962025316
"FAM159B",-0.0488969665974025,0.0123683625154444,8846,0.0171961631654862,"DOWN",0.166365280289331
"SEC62",-0.047621035858238,0.000109467265144094,5586,0.000478352176945827,"DOWN",0.168173598553345
"OST4",-0.0469421823797882,3.03114422697715e-08,2312,6.11245680525384e-07,"DOWN",0.16998191681736
"SARS",-0.0468940945749407,6.6883418616726e-07,2634,7.16144188235643e-06,"DOWN",0.171790235081374
"RPL41",-0.0459682106920785,6.31930118560662e-08,3000,1.08452705375577e-06,"DOWN",0.173598553345389
"COX6B1",-0.0441811670666193,4.30744612490465e-08,3362,7.89653147694621e-07,"DOWN",0.175406871609403
"PCP4",-0.0438441551022748,9.91469681824193e-05,2938,0.000444299808921618,"DOWN",0.177215189873418
"TCF25",-0.0436160851795833,6.05994310899e-08,3024,1.04744435167414e-06,"DOWN",0.179023508137432
"PAX6",-0.0430608652039704,6.85744800818373e-07,4787,7.31016389820696e-06,"DOWN",0.180831826401447
"NAA38",-0.0426135064762115,1.04749415373279e-07,1757,1.59420780591714e-06,"DOWN",0.182640144665461
"COX6A1",-0.0426070040247513,3.53673827326971e-08,2547,6.97246074454051e-07,"DOWN",0.184448462929476
"SNRPD2",-0.0409898885475506,4.66106974761379e-05,3857,0.000241523375100955,"DOWN",0.18625678119349
"SLC7A8",-0.0407966065995336,2.82441029359715e-07,1675,3.73479822500242e-06,"DOWN",0.188065099457505
"NDUFC1",-0.0396765656709561,8.7896177265635e-09,2280,2.21558900967787e-07,"DOWN",0.189873417721519
"FXYD2",-0.0391798696350662,0.000204440752747052,2521,0.000776163926445282,"DOWN",0.191681735985533
"NDUFA13",-0.0382175541588957,3.58875370907119e-05,3911,0.000194279321946129,"DOWN",0.193490054249548
"COX5B",-0.0379741086126462,4.82104781575114e-09,3650,1.34095015284525e-07,"DOWN",0.195298372513562
"TCEAL2",-0.0378505654231173,0.000226634037448617,2154,0.000847639726957653,"DOWN",0.197106690777577
"NUCKS1",-0.0377793814887199,0.00169961609136467,7168,0.00397760435204342,"DOWN",0.198915009041591
"TCEAL8",-0.0377757513193042,6.14301896933152e-06,2281,4.56313168727169e-05,"DOWN",0.200723327305606
"EIF5B",-0.0367794420871888,3.92151606871708e-07,3543,4.7382411368162e-06,"DOWN",0.20253164556962
"RPS16",-0.0367330793768606,0.0181710645766035,10902,0.022665697572876,"DOWN",0.204339963833635
"NDUFS5",-0.036532639493701,7.52908694116802e-07,3469,7.85316595353923e-06,"DOWN",0.206148282097649
"MYEOV2",-0.0360742440825574,6.10947116798159e-09,1588,1.64267466104587e-07,"DOWN",0.207956600361664
"DHRS7",-0.0359544199973677,0.000369796901443796,4609,0.00124285716192292,"DOWN",0.209764918625678
"SEZ6L2",-0.0356880623715564,4.68451770949505e-09,1786,1.32701926261591e-07,"DOWN",0.211573236889693
"MIR4458HG",-0.0356550152423927,8.72648226484085e-06,902,6.01620382953284e-05,"DOWN",0.213381555153707
"RPL23A",-0.0349574560687489,0.000378320438888249,3374,0.00126622812412026,"DOWN",0.215189873417722
"TSTD1",-0.0347083599467898,9.76068442800799e-08,2589,1.51833680591068e-06,"DOWN",0.216998191681736
"PPP1R1A",-0.034299749789179,0.0305520555412337,3320,0.0317576169981686,"DOWN",0.21880650994575
"ST13",-0.0333160894414515,7.98303441326425e-06,2339,5.55110197292645e-05,"DOWN",0.220614828209765
"HINT1",-0.03326273896014,0.0242856133930865,8352,0.0275001462073717,"DOWN",0.222423146473779
"SMIM4",-0.0331407323236132,3.84004653333718e-08,1041,7.31683420051321e-07,"DOWN",0.224231464737794
"AKAP9",-0.0329320961623594,0.00117263743753877,5981,0.00299643060458737,"DOWN",0.226039783001808
"SYF2",-0.0326033256328853,5.53125968882467e-07,2135,6.19670391312181e-06,"DOWN",0.227848101265823
"DNAJA1",-0.0324400535135803,0.000218583797533264,3066,0.000825183214496091,"DOWN",0.229656419529837
"KTN1",-0.032330222644901,0.00119924129313148,4723,0.00304831661684167,"DOWN",0.231464737793852
"FFAR4",-0.0320129955801916,3.40259956636802e-07,1205,4.28844714190268e-06,"DOWN",0.233273056057866
"MRLN",-0.0318748501888161,3.31286426374878e-06,1309,2.71733242589137e-05,"DOWN",0.235081374321881
"DNAJC8",-0.0314135158889963,3.68797944393769e-09,1802,1.1017775545986e-07,"DOWN",0.236889692585895
"ITGB1",-0.0309981623635213,2.16547552792387e-08,2130,4.67870545485713e-07,"DOWN",0.23869801084991
"ERLEC1",-0.0306033044165428,5.00346786030078e-05,3642,0.000252659563875727,"DOWN",0.240506329113924
"C4orf48",-0.030445130318755,1.33020869499666e-06,2012,1.26232170486888e-05,"DOWN",0.242314647377939
"MAFB",-0.0291065917987195,0.00800893252276548,4345,0.0126669965326287,"DOWN",0.244122965641953
"TCEAL3",-0.0288580921733026,4.05081942569777e-05,3265,0.000214494979631088,"DOWN",0.245931283905967
"METAP2",-0.0286549567430903,3.14611104573757e-05,2229,0.000175418246658854,"DOWN",0.247739602169982
"PRMT2",-0.0285504558873502,1.76254391948367e-07,2624,2.56934431479138e-06,"DOWN",0.249547920433996
"STMN2",-0.028149124582998,0.00405337438532247,4061,0.00759179815532968,"DOWN",0.251356238698011
"NARS",-0.0278059596456382,1.89037744156292e-08,1638,4.15859176071047e-07,"DOWN",0.253164556962025
"PKIB",-0.0277499559730892,9.4408776642965e-06,2695,6.42105358154293e-05,"DOWN",0.25497287522604
"RSRC2",-0.027597693386422,7.51277012485007e-06,1937,5.28569360458927e-05,"DOWN",0.256781193490054
"DPM3",-0.027321232730452,7.46225134131646e-07,1168,7.81714811274545e-06,"DOWN",0.258589511754069
"SEC61G",-0.0272693380082234,5.25931967412346e-05,2031,0.000262263722185343,"DOWN",0.260397830018083
"MYH10",-0.0270454486988583,3.94734773072641e-06,1337,3.11141154200842e-05,"DOWN",0.262206148282098
"PFDN5",-0.0269562941879492,0.0182631620421433,7235,0.0226870207241268,"DOWN",0.264014466546112
"LUC7L3",-0.0268862740862552,0.00671659299072847,5684,0.0111629275163995,"DOWN",0.265822784810127
"SHFM1",-0.0268742368345905,1.81903274576151e-05,2080,0.000110045166972122,"DOWN",0.267631103074141
"NFE2L1",-0.0268430611089298,3.70495340443671e-06,1535,2.96869960923367e-05,"DOWN",0.269439421338156
"NDUFA7",-0.0267140114622734,1.94054797747925e-05,2355,0.000115947078215031,"DOWN",0.27124773960217
"APCDD1L-AS1",-0.0264753989129981,1.01047052602582e-05,835,6.75469163798036e-05,"DOWN",0.273056057866184
"CFDP1",-0.0262048650121419,5.45813700617533e-06,1449,4.12747928535665e-05,"DOWN",0.274864376130199
"TM4SF4",-0.026030863737475,0.0017139517453171,978,0.00400340274894912,"DOWN",0.276672694394213
"KRTCAP2",-0.0260251826732066,0.000126863274733444,2463,0.000532726402886364,"DOWN",0.278481012658228
"ATP5H",-0.0259324738814591,1.23014270765197e-06,2800,1.18596595690344e-05,"DOWN",0.280289330922242
"NDUFB9",-0.0257010494981081,1.24565274831287e-06,3178,1.19615345107784e-05,"DOWN",0.282097649186257
"ATP5G2",-0.024938422383363,0.0079101956898664,6370,0.0125600887588872,"DOWN",0.283905967450271
"DYNLRB1",-0.024657936640432,0.00245003333715643,3974,0.00523893375927253,"DOWN",0.285714285714286
"COA3",-0.0245039492725093,4.49908039355603e-06,1531,3.48947111282294e-05,"DOWN",0.2875226039783
"TMSB10",-0.0244359393901511,0.000336765966330512,3397,0.00115428736520044,"DOWN",0.289330922242315
"GOLGB1",-0.0244032649070667,0.00107058006310676,3504,0.002788649199894,"DOWN",0.291139240506329
"RBM25",-0.0241983052159023,0.00939856466373933,4619,0.0142323038365959,"DOWN",0.292947558770344
"SELK",-0.0241567823943998,0.000458647315372284,2631,0.00146419897327903,"DOWN",0.294755877034358
"ZNHIT1",-0.0240039619715557,0.000133894016372786,1845,0.000554802960516017,"DOWN",0.296564195298373
"DDX24",-0.0237559178238613,0.00155229945574281,4298,0.00373152375339972,"DOWN",0.298372513562387
"C12orf75",-0.0237330001244675,0.000341651680319684,1926,0.00116443609763703,"DOWN",0.300180831826401
"CHD4",-0.0236606603762133,0.00689315548805152,2887,0.0113627242454772,"DOWN",0.301989150090416
"UBA52",-0.0235628572264413,0.0437689392362034,6955,0.0401540245343567,"DOWN",0.30379746835443
"MINOS1",-0.0235207976816255,2.85041123009019e-05,2151,0.000160783202982175,"DOWN",0.305605786618445
"EIF3A",-0.0233530161622718,0.00243603127748179,4367,0.00522130864280028,"DOWN",0.307414104882459
"SLTM",-0.0233439536393521,0.00019269007521397,3126,0.000738959156458476,"DOWN",0.309222423146474
"SNRNP27",-0.0232196030953149,5.53635261365767e-05,1743,0.000273971464689274,"DOWN",0.311030741410488
"UQCR10",-0.0231446393048951,0.000175031999883398,2230,0.000685361063402404,"DOWN",0.312839059674503
"TMA7",-0.0230336356738001,1.56652351258064e-06,1317,1.43047901680939e-05,"DOWN",0.314647377938517
"SNHG5",-0.0229288910710002,0.000107381909384863,3003,0.000471595845983594,"DOWN",0.316455696202532
"IFI27L2",-0.0227439043031103,1.26928436025807e-05,1426,8.12563999064307e-05,"DOWN",0.318264014466546
"PIN4",-0.0225639577100201,4.34721378680494e-07,909,5.0575258508545e-06,"DOWN",0.320072332730561
"PET100",-0.022154651976256,7.86483645733337e-08,742,1.27730283381028e-06,"DOWN",0.321880650994575
"SAT1",-0.02195920393492,0.000152058957285601,1867,0.000609207887113599,"DOWN",0.32368896925859
"SMIM24",-0.0218470859999656,4.99878544845314e-05,432,0.000252659563875727,"DOWN",0.325497287522604
"CAMK2N1",-0.0218125409324723,2.34373066295324e-06,1025,2.0040645887476e-05,"DOWN",0.327305605786618
"ATP5J2",-0.0217004945780312,1.13353577940915e-08,767,2.6950528094129e-07,"DOWN",0.329113924050633
"RPS27",-0.0215395486429098,2.19386073839369e-06,1064,1.88926632654705e-05,"DOWN",0.330922242314647
"ATP5J",-0.0214144082260872,0.00368925184065861,3717,0.00711920033145597,"DOWN",0.332730560578662
"BOLA3",-0.0213831583991687,3.95528771619748e-07,1064,4.7382411368162e-06,"DOWN",0.334538878842676
"TMCO1",-0.0212547830067106,0.000389477582550269,2162,0.00129284180010094,"DOWN",0.336347197106691
"NDUFB7",-0.0209252001394954,5.01171691077935e-05,1915,0.000252659563875727,"DOWN",0.338155515370705
"PRRC2C",-0.0207879977943033,0.00177158973051216,3350,0.00411025998970831,"DOWN",0.33996383363472
"HNRNPM",-0.0207781395782238,0.000730171108992615,2331,0.00211100681272256,"DOWN",0.341772151898734
"DYNC1I2",-0.0206096406651629,0.00010951335187817,1626,0.000478352176945827,"DOWN",0.343580470162749
"PTMA",-0.0206063844816252,0.00323821572630007,4122,0.00645780524710904,"DOWN",0.345388788426763
"YTHDC1",-0.0205886552280003,1.72233471723901e-05,2055,0.000105247749394398,"DOWN",0.347197106690778
"NMT1",-0.0205796168678254,1.65658861009825e-05,756,0.000102787549367624,"DOWN",0.349005424954792
"NDUFS4",-0.0205400484741819,3.20784783673376e-05,1407,0.000178040054295498,"DOWN",0.350813743218806
"HSPE1",-0.0204563452742306,1.6956520165023e-05,1834,0.000104408204708092,"DOWN",0.352622061482821
"SHTN1",-0.0204099812993816,0.00015238725789637,1802,0.000609514059027054,"DOWN",0.354430379746835
"COX16",-0.0202947375669831,3.66545069976936e-05,901,0.000197547477937478,"DOWN",0.35623869801085
"PDCD5",-0.0202898241848527,4.70954100502301e-05,1291,0.000242958063255789,"DOWN",0.358047016274864
"UQCC2",-0.01995818884704,4.11175002270781e-07,970,4.83278592573537e-06,"DOWN",0.359855334538879
"NDUFAF2",-0.0198503458029626,9.60633423677033e-05,1031,0.000433693937492373,"DOWN",0.361663652802893
"LRRFIP1",-0.019703239199506,6.12596450756259e-06,1315,4.56313168727169e-05,"DOWN",0.363471971066908
"LINC00116",-0.0196117153178027,4.17008627764869e-06,881,3.2551709003574e-05,"DOWN",0.365280289330922
"CBX3",-0.0195466258155281,1.51584157420807e-07,894,2.2231067519272e-06,"DOWN",0.367088607594937
"NDUFS6",-0.019187127839142,3.25967692829915e-07,1044,4.12982490711908e-06,"DOWN",0.368896925858951
"HP1BP3",-0.0189638406212925,6.14738133937733e-06,2325,4.56313168727169e-05,"DOWN",0.370705244122966
"SST",-0.0187079582321046,0.00693547269311827,1775,0.0114169258183927,"DOWN",0.37251356238698
"MRPL1",-0.0186703686124428,0.000100855177744192,1547,0.000449457692041783,"DOWN",0.374321880650995
"NDUFA2",-0.0186703173769677,1.91419287438353e-05,1350,0.000114939974628389,"DOWN",0.376130198915009
"SNRPF",-0.0185268849840407,1.11966377990895e-05,1173,7.28341636094966e-05,"DOWN",0.377938517179023
"RPS27L",-0.0184900647384894,0.00409453023173023,2630,0.00764521192180416,"DOWN",0.379746835443038
"NSA2",-0.0183924824814771,4.9098810088452e-05,1356,0.000249908872623707,"DOWN",0.381555153707052
"THOC7",-0.0180420890898346,3.89946739306827e-06,1161,3.08781607118326e-05,"DOWN",0.383363471971067
