"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"MALAT1",2.38583720288074,0.00188862777554076,342595,0.0043155967780382,"UP",0.000428082191780822
"CHGB",1.60279592460129,4.55224089811174e-08,57506,8.15984511992311e-07,"UP",0.000856164383561644
"GNAS",1.10456199371738,1.73535242611649e-13,54748,1.30487652952326e-10,"UP",0.00128424657534247
"IAPP",1.09482558856892,0.0161354637517717,114909,0.0207909953811156,"UP",0.00171232876712329
"CPE",0.880396985979321,4.18608849104163e-14,28196,5.06487646283585e-11,"UP",0.00214041095890411
"FTH1",0.741811846784383,5.23440404392565e-06,38812,4.02112095523102e-05,"UP",0.00256849315068493
"FTL",0.574320451613963,0.00154855805389372,50631,0.0037286522178696,"UP",0.00299657534246575
"RPL3",0.471116334386911,8.29677676196252e-12,22706,1.67308731564069e-09,"UP",0.00342465753424658
"SCG2",0.434114976759915,8.73686439708414e-10,11970,3.52366646002817e-08,"UP",0.0038527397260274
"PCSK1N",0.386514600425013,6.99019428357083e-07,18622,7.41899105440584e-06,"UP",0.00428082191780822
"B2M",0.381487069763476,7.88802425845664e-06,32294,5.51674089102671e-05,"UP",0.00470890410958904
"SPP1",0.368405196117063,7.11893435205553e-08,3213,1.18805742722095e-06,"UP",0.00513698630136986
"RPS4X",0.349174548321015,1.62740723082391e-06,26911,1.47494364764728e-05,"UP",0.00556506849315068
"GAPDH",0.303037782220416,2.01348209081308e-10,15182,1.30997964261893e-08,"UP",0.00599315068493151
"CHGA",0.296761774103803,0.00188612658429541,26856,0.00431395505898838,"UP",0.00642123287671233
"SCG5",0.259317477254971,5.04742768368751e-05,34351,0.000253404028592658,"UP",0.00684931506849315
"RPL13",0.248344666878009,4.03817709901517e-06,24231,3.16240384916128e-05,"UP",0.00727739726027397
"RPLP0",0.242515947217783,5.16045705850056e-10,10916,2.40145953298268e-08,"UP",0.00770547945205479
"SPINT2",0.242091619308618,3.5779110650694e-14,7944,5.06487646283585e-11,"UP",0.00813356164383562
"TPT1",0.231222745838498,0.000918583928263185,22968,0.002474905055845,"UP",0.00856164383561644
"RPL4",0.207397856904277,6.76562557509249e-10,11844,2.87225868597344e-08,"UP",0.00898972602739726
"RPS2",0.195486417495907,0.000166037378869415,13279,0.000651421546136686,"UP",0.00941780821917808
"GAD2",0.188878109977478,1.56242205019321e-08,9557,3.53349946265417e-07,"UP",0.0098458904109589
"RPS3",0.187193385322122,0.0010180075624535,26773,0.00268074781286091,"UP",0.0102739726027397
"EIF1",0.18625230976048,1.17957255055388e-09,11406,4.39138737404067e-08,"UP",0.0107020547945205
"RPL7A",0.170704476683849,1.90486272363561e-09,9708,6.40208792801455e-08,"UP",0.0111301369863014
"RPL6",0.152457824997363,2.15616496912598e-11,7198,3.2079673185001e-09,"UP",0.0115582191780822
"H3F3B",0.141974424262554,2.33980604759632e-13,8211,1.30487652952326e-10,"UP",0.011986301369863
"TMSB4X",0.139507418312879,9.95222070969139e-07,5400,9.95164970620817e-06,"UP",0.0124143835616438
"TMEM59",0.135337343976724,6.79536095435811e-08,8458,1.14544887745115e-06,"UP",0.0128424657534247
"NPY",0.13405630003448,1.89833744809094e-06,1990,1.68886509094204e-05,"UP",0.0132705479452055
"CD63",0.131245641394006,4.72437833377552e-07,11958,5.47001895003195e-06,"UP",0.0136986301369863
"PSAP",0.131184685130719,2.02298827927614e-07,9935,2.86277821726975e-06,"UP",0.0141267123287671
"PDIA3",0.131063626173972,4.94552914326999e-06,8194,3.8113037766194e-05,"UP",0.0145547945205479
"GSN",0.12803366376856,1.70260804376845e-10,4569,1.21178678388054e-08,"UP",0.0149828767123288
"GNB2L1",0.125065953429814,7.86656714865649e-07,13488,8.13504284464747e-06,"UP",0.0154109589041096
"ITM2B",0.117129961386941,3.64057210680163e-09,8633,1.10120987733874e-07,"UP",0.0158390410958904
"PEBP1",0.113861222186202,0.000236877081860969,16224,0.000876370761834445,"UP",0.0162671232876712
"MT2A",0.113796619464296,0.000273305365705289,1588,0.000966902101731411,"UP",0.0166952054794521
"S100A6",0.113645832029835,6.99100757723491e-06,9014,5.0148109156536e-05,"UP",0.0171232876712329
"FOS",0.112646220101724,2.05085582036961e-07,3663,2.88534089050823e-06,"UP",0.0175513698630137
"EID1",0.108537859125398,2.01751827166681e-09,8750,6.5974514764955e-08,"UP",0.0179794520547945
"UCHL1",0.105786311348238,4.77982117701808e-10,7585,2.33382963052658e-08,"UP",0.0184075342465753
"ID1",0.105598402524915,4.71612416306043e-09,2361,1.32701926261591e-07,"UP",0.0188356164383562
"NUCB2",0.102592055776137,9.29095528884888e-06,8980,6.3510796002267e-05,"UP",0.019263698630137
