"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"INS","12.770680535","1.694235e-04","898243","2.274143e-03","UP",0.00328947368421053
"MALAT1"," 2.249780585","2.509561e-03","342595","1.731441e-02","UP",0.00657894736842105
"IAPP"," 1.263621665","1.950680e-07","114909","1.498021e-05","UP",0.00986842105263158
"PCSK1N"," 0.410095922","8.292240e-10"," 18622","4.521289e-07","UP",0.0131578947368421
"CPE"," 0.328677979","1.107237e-06"," 28196","5.116217e-05","UP",0.0164473684210526
"GAPDH"," 0.284108327","3.266642e-06"," 15182","1.103301e-04","UP",0.0197368421052632
"DLK1"," 0.239638081","2.574318e-10","  6854","2.339383e-07","UP",0.0230263157894737
"SPP1"," 0.212238435","5.084994e-04","  3213","5.172685e-03","UP",0.0263157894736842
"SCG5"," 0.204251614","3.742212e-07"," 34351","2.400490e-05","UP",0.0296052631578947
"RPS3"," 0.190747729","3.693628e-09"," 26773","1.059961e-06","UP",0.0328947368421053
"SCG2"," 0.190265308","6.525613e-07"," 11970","3.593988e-05","UP",0.0361842105263158
"RPS4X"," 0.173193522","7.069039e-06"," 26911","1.898693e-04","UP",0.0394736842105263
"RASD1"," 0.146319508","6.668773e-06","  5693","1.824161e-04","UP",0.0427631578947368
"HSP90AB1"," 0.145139217","5.916446e-06"," 30327","1.662837e-04","UP",0.0460526315789474
"RPS2"," 0.130758557","1.537262e-06"," 13279","6.548298e-05","UP",0.0493421052631579
"ALDOA"," 0.128933294","1.336913e-07","  5905","1.142809e-05","UP",0.0526315789473684
"GCG"," 0.126520528","9.923736e-11","  6442","1.803617e-07","UP",0.0559210526315789
"TPI1"," 0.107402782","1.690426e-06","  4715","7.035830e-05","UP",0.0592105263157895
"C10orf10"," 0.095021197","5.984299e-04","  2703","5.785283e-03","UP",0.0625
"MEG3"," 0.087764350","9.521575e-07","  6574","4.677096e-05","UP",0.0657894736842105
"RPL15"," 0.085136478","4.288444e-07"," 12594","2.657098e-05","UP",0.0690789473684211
"SPINT2"," 0.079908466","1.284861e-04","  7944","1.863197e-03","UP",0.0723684210526316
"UBC"," 0.076470724","3.657265e-06","  6069","1.183770e-04","UP",0.0756578947368421
"FOS"," 0.074570896","4.423617e-08","  3663","5.464520e-06","UP",0.0789473684210526
"STMN2"," 0.073045655","9.825407e-07","  4061","4.783249e-05","UP",0.0822368421052632
"EEF1G"," 0.071127059","3.595759e-09","  6251","1.059961e-06","UP",0.0855263157894737
"GPX3"," 0.066502917","1.805855e-08","  2179","2.983729e-06","UP",0.0888157894736842
"ENO1"," 0.065894256","3.103877e-06","  7323","1.084852e-04","UP",0.0921052631578947
"ANXA2"," 0.064588529","3.602504e-08","  2298","4.805590e-06","UP",0.0953947368421053
"RPL13A"," 0.062160079","1.816686e-06","  7186","7.504061e-05","UP",0.0986842105263158
"JUNB"," 0.059393506","1.878532e-07","  1874","1.463225e-05","UP",0.101973684210526
"EIF4A2"," 0.056543471","1.015843e-05","  8791","2.536558e-04","UP",0.105263157894737
"CIRBP"," 0.053598594","2.769879e-06","  7776","1.013596e-04","UP",0.108552631578947
"GSN"," 0.051739953","1.297633e-06","  4569","5.705855e-05","UP",0.111842105263158
"PSAP"," 0.051683759","5.968666e-03","  9935","3.273551e-02","UP",0.115131578947368
"GNB2L1"," 0.050109132","1.190453e-03"," 13488","9.766562e-03","UP",0.118421052631579
"SAMD11"," 0.048398359","2.222452e-06","  3506","8.533643e-05","UP",0.121710526315789
"UCHL1"," 0.046710562","1.982533e-03","  7585","1.431739e-02","UP",0.125
