"","slope.pseudo.index","p.pseudo.index","Transcripts","qvalue","feature","rank"
"MALAT1","  2.385837203","1.888628e-03","342595",0.004315597,"UP",0.000428082191780822
"CHGB","  1.602795925","4.552241e-08"," 57506",8.159845e-07,"UP",0.000856164383561644
"GNAS","  1.104561994","1.735352e-13"," 54748",1.304877e-10,"UP",0.00128424657534247
"CPE","  0.880396986","4.186088e-14"," 28196",5.064876e-11,"UP",0.00214041095890411
"FTH1","  0.741811847","5.234404e-06"," 38812",4.021121e-05,"UP",0.00256849315068493
"FTL","  0.574320452","1.548558e-03"," 50631",0.003728652,"UP",0.00299657534246575
"RPL3","  0.471116334","8.296777e-12"," 22706",1.673087e-09,"UP",0.00342465753424658
"SCG2","  0.434114977","8.736864e-10"," 11970",3.523666e-08,"UP",0.0038527397260274
"PCSK1N","  0.386514600","6.990194e-07"," 18622",7.418991e-06,"UP",0.00428082191780822
"B2M","  0.381487070","7.888024e-06"," 32294",5.516741e-05,"UP",0.00470890410958904
"SPP1","  0.368405196","7.118934e-08","  3213",1.188057e-06,"UP",0.00513698630136986
"RPS4X","  0.349174548","1.627407e-06"," 26911",1.474944e-05,"UP",0.00556506849315068
"GAPDH","  0.303037782","2.013482e-10"," 15182",1.30998e-08,"UP",0.00599315068493151
"CHGA","  0.296761774","1.886127e-03"," 26856",0.004313955,"UP",0.00642123287671233
"SCG5","  0.259317477","5.047428e-05"," 34351",0.000253404,"UP",0.00684931506849315
"RPL13","  0.248344667","4.038177e-06"," 24231",3.162404e-05,"UP",0.00727739726027397
"RPLP0","  0.242515947","5.160457e-10"," 10916",2.40146e-08,"UP",0.00770547945205479
"SPINT2","  0.242091619","3.577911e-14","  7944",5.064876e-11,"UP",0.00813356164383562
"TPT1","  0.231222746","9.185839e-04"," 22968",0.002474905,"UP",0.00856164383561644
"RPL4","  0.207397857","6.765626e-10"," 11844",2.872259e-08,"UP",0.00898972602739726
"RPS2","  0.195486417","1.660374e-04"," 13279",0.0006514215,"UP",0.00941780821917808
"GAD2","  0.188878110","1.562422e-08","  9557",3.533499e-07,"UP",0.0098458904109589
"RPS3","  0.187193385","1.018008e-03"," 26773",0.002680748,"UP",0.0102739726027397
"EIF1","  0.186252310","1.179573e-09"," 11406",4.391387e-08,"UP",0.0107020547945205
"RPL7A","  0.170704477","1.904863e-09","  9708",6.402088e-08,"UP",0.0111301369863014
"RPL6","  0.152457825","2.156165e-11","  7198",3.207967e-09,"UP",0.0115582191780822
"H3F3B","  0.141974424","2.339806e-13","  8211",1.304877e-10,"UP",0.011986301369863
"TMSB4X","  0.139507418","9.952221e-07","  5400",9.95165e-06,"UP",0.0124143835616438
"TMEM59","  0.135337344","6.795361e-08","  8458",1.145449e-06,"UP",0.0128424657534247
"NPY","  0.134056300","1.898337e-06","  1990",1.688865e-05,"UP",0.0132705479452055
"CD63","  0.131245641","4.724378e-07"," 11958",5.470019e-06,"UP",0.0136986301369863
"PSAP","  0.131184685","2.022988e-07","  9935",2.862778e-06,"UP",0.0141267123287671
"PDIA3","  0.131063626","4.945529e-06","  8194",3.811304e-05,"UP",0.0145547945205479
"GSN","  0.128033664","1.702608e-10","  4569",1.211787e-08,"UP",0.0149828767123288
"GNB2L1","  0.125065953","7.866567e-07"," 13488",8.135043e-06,"UP",0.0154109589041096
"ITM2B","  0.117129961","3.640572e-09","  8633",1.10121e-07,"UP",0.0158390410958904
"PEBP1","  0.113861222","2.368771e-04"," 16224",0.0008763708,"UP",0.0162671232876712
"MT2A","  0.113796619","2.733054e-04","  1588",0.0009669021,"UP",0.0166952054794521
"S100A6","  0.113645832","6.991008e-06","  9014",5.014811e-05,"UP",0.0171232876712329
"FOS","  0.112646220","2.050856e-07","  3663",2.885341e-06,"UP",0.0175513698630137
"EID1","  0.108537859","2.017518e-09","  8750",6.597451e-08,"UP",0.0179794520547945
"UCHL1","  0.105786311","4.779821e-10","  7585",2.33383e-08,"UP",0.0184075342465753
"ID1","  0.105598403","4.716124e-09","  2361",1.327019e-07,"UP",0.0188356164383562
"NUCB2","  0.102592056","9.290955e-06","  8980",6.35108e-05,"UP",0.019263698630137
"EPCAM","  0.101529240","2.747305e-06"," 10049",2.300379e-05,"UP",0.0196917808219178
"RTN4","  0.099956999","4.453528e-09","  6844",1.298424e-07,"UP",0.0201198630136986
"HSP90B1","  0.099623923","1.812824e-04","  8738",0.0007018853,"UP",0.0205479452054795
"CADM1","  0.099362559","2.696181e-13","  4091",1.304877e-10,"UP",0.0209760273972603
"JUN","  0.098432878","5.717697e-07","  3319",6.376052e-06,"UP",0.0214041095890411
"ALDOA","  0.096735605","8.394458e-07","  5905",8.64401e-06,"UP",0.0218321917808219
"RPL19","  0.094396246","1.730579e-03"," 19878",0.004026694,"UP",0.0222602739726027
