name	chrom	txStart	txEnd	name2
NM_024763	chr1	67051159	67163158	WDR78
NM_207014	chr1	67075869	67163158	WDR78
NM_145243	chr1	58718978	58785059	OMA1
NM_001144777	chr1	50286272	50442044	ELAVL4
NM_001127714	chr1	41744622	42156965	HIVEP3
NM_024503	chr1	41744622	42156965	HIVEP3
NM_001042682	chr1	8335050	8406334	RERE
NM_001042681	chr1	8335050	8800286	RERE
NM_017940	chr1	16761508	16812687	NBPF1
NM_012102	chr1	8335050	8800286	RERE
NM_001080438	chr1	33544953	33559286	A3GALT2
NM_001130058	chr1	75440403	75849387	SLC44A5
NM_173567	chr1	92268120	92301681	EPHX4
NM_152697	chr1	75444662	75849387	SLC44A5
NM_033312	chr1	100590610	100737609	CDC14A
NM_033313	chr1	100590610	100723514	CDC14A
NM_003672	chr1	100590610	100758421	CDC14A
NM_003594	chr1	117404471	117447014	TTF2
NM_001319212	chr1	100590610	100737609	CDC14A
NR_119375	chr1	83814059	84099267	LOC101927587
NM_001319210	chr1	100590610	100758421	CDC14A
NM_001319211	chr1	100583158	100737609	CDC14A
NM_003292	chr1	184547408	184611080	TPR
NM_001127708	chr1	184532027	184550317	PRG4
NM_001303232	chr1	184532027	184550317	PRG4
NM_001127709	chr1	184532027	184550317	PRG4
NM_001127710	chr1	184532027	184550317	PRG4
NM_000130	chr1	167747815	167822393	F5
NM_005807	chr1	184532027	184550317	PRG4
NM_001290327	chr1	243200253	243317771	EFCAB2
NR_026587	chr1	243200253	243355153	EFCAB2
NM_001098623	chr1	226462453	226633198	OBSCN
NM_052843	chr1	226462453	226615574	OBSCN
NM_001143943	chr1	243200253	243355153	EFCAB2
NM_032328	chr1	243199793	243317771	EFCAB2
NM_001271223	chr1	226462453	226633198	OBSCN
NM_199454	chr1	2975601	3345045	PRDM16
NM_001033582	chr1	2026014	2106694	PRKCZ
NM_001033581	chr1	1994945	2106694	PRKCZ
NM_001242874	chr1	1995284	2106694	PRKCZ
NM_002744	chr1	1971768	2106694	PRKCZ
NM_015215	chr1	6767970	7752353	CAMTA1
NM_181866	chr1	6246918	6341591	ACOT7
NM_181865	chr1	6246918	6343351	ACOT7
NM_181864	chr1	6246918	6368470	ACOT7
NM_022114	chr1	2975601	3345045	PRDM16
NM_007274	chr1	6246918	6376413	ACOT7
NM_004565	chr1	10457589	10613405	PEX14
NM_004753	chr1	12550525	12600324	DHRS3
NM_015291	chr1	15725894	15770816	DNAJC16
NM_001287811	chr1	15725894	15770816	DNAJC16
NR_109898	chr1	15725894	15770816	DNAJC16
NM_001319225	chr1	12550525	12599375	DHRS3
NM_001013693	chr1	22011344	22024301	LDLRAD2
NM_001135254	chr1	18830086	18947947	PAX7
NM_018125	chr1	17738916	17896957	ARHGEF10L
NM_001309193	chr1	22909917	23120580	EPHB2
NM_001011722	chr1	17779634	17896957	ARHGEF10L
NM_016287	chr1	20941757	20985768	HP1BP3
NM_181719	chr1	19881292	19998997	TMCO4
NM_001309192	chr1	22909917	23120580	EPHB2
NM_013945	chr1	18830086	18935219	PAX7
NM_004442	chr1	22909917	23120580	EPHB2
NM_002584	chr1	18830086	18935219	PAX7
NM_017449	chr1	22909917	23120580	EPHB2
NM_001319837	chr1	17779634	17896957	ARHGEF10L
NM_001319838	chr1	17817394	17896957	ARHGEF10L
NM_005626	chr1	29346836	29381224	SRSF4
NM_005356	chr1	32489426	32524355	LCK
NM_024522	chr1	31425178	31485321	NKAIN1
NM_001270876	chr1	37728149	37753007	MEAF6
NM_001270875	chr1	37728149	37753007	MEAF6
NR_073092	chr1	37728149	37753007	MEAF6
NM_005095	chr1	35507154	35660132	ZMYM4
NM_031280	chr1	36693948	36702627	MRPS15
NR_073090	chr1	37728149	37753007	MEAF6
NM_014747	chr1	40858938	40903911	RIMS3
NM_022756	chr1	37728149	37753007	MEAF6
NR_073091	chr1	37728149	37753007	MEAF6
NM_015112	chr1	46041871	46274383	MAST2
NM_032785	chr1	48771113	50262213	AGBL4
NM_006279	chr1	43945790	44169424	ST3GAL3
NM_022356	chr1	42984592	43005342	P3H1
NR_073021	chr1	43945790	44169424	ST3GAL3
NM_001194986	chr1	47998786	48235149	TRABD2B
NM_174963	chr1	43945790	44169424	ST3GAL3
NR_073017	chr1	43945790	44169424	ST3GAL3
NM_001270459	chr1	43945790	44169424	ST3GAL3
NM_001270460	chr1	43945790	44169424	ST3GAL3
NM_174970	chr1	43945790	44169424	ST3GAL3
NM_174969	chr1	43945790	44169424	ST3GAL3
NM_174968	chr1	43945790	44169424	ST3GAL3
NM_174967	chr1	43945790	44169424	ST3GAL3
NM_174966	chr1	43945790	44169424	ST3GAL3
NM_174965	chr1	43945790	44169424	ST3GAL3
NM_001146289	chr1	42984592	43005342	P3H1
NM_174964	chr1	43945790	44169424	ST3GAL3
NM_001270461	chr1	43945790	44169424	ST3GAL3
NM_001270462	chr1	43945790	44169424	ST3GAL3
NM_001270463	chr1	43945790	44169424	ST3GAL3
NM_001270464	chr1	43945790	44169424	ST3GAL3
NM_001270465	chr1	43945790	44169424	ST3GAL3
NM_174971	chr1	43945790	44169424	ST3GAL3
NR_073019	chr1	43945790	44169424	ST3GAL3
NM_001270466	chr1	43945790	44169424	ST3GAL3
NR_073016	chr1	43945790	44169424	ST3GAL3
NM_001319245	chr1	46041871	46274383	MAST2
NM_001243246	chr1	42984592	43005342	P3H1
NR_073020	chr1	43945790	44169424	ST3GAL3
NR_073023	chr1	43945790	44169424	ST3GAL3
NR_073018	chr1	43945790	44169424	ST3GAL3
NM_001009955	chr1	54463691	54644656	SSBP3
NM_004799	chr1	52380353	52584946	ZFYVE9
NM_001136508	chr1	51340493	51386342	C1orf185
NM_145716	chr1	54463691	54644656	SSBP3
NM_018070	chr1	54463691	54644656	SSBP3
NM_021080	chr1	57236166	58488799	DAB1
NM_007324	chr1	52380353	52584946	ZFYVE9
NR_038953	chr1	53476869	53481043	LOC100507564
NM_001278224	chr1	59753888	60000991	FGGY
NM_001037341	chr1	66030780	66612850	PDE4B
NM_033407	chr1	62692984	62926627	DOCK7
NM_001113411	chr1	59535212	60000990	FGGY
NM_001271999	chr1	62692984	62926627	DOCK7
NM_002600	chr1	66031443	66612850	PDE4B
NM_001272002	chr1	62822363	62926627	DOCK7
NM_001272001	chr1	62692984	62926627	DOCK7
NM_001297440	chr1	66030780	66612850	PDE4B
NR_103473	chr1	59535271	59937654	FGGY
NM_001244714	chr1	59548337	60000990	FGGY
NM_001272000	chr1	62692984	62926627	DOCK7
NM_018291	chr1	59535212	60000990	FGGY
NM_018211	chr1	64983365	65071502	RAVER2
NM_020794	chr1	69998445	70361759	LRRC7
NM_173808	chr1	71641212	72520865	NEGR1
NM_005455	chr1	71301561	71319560	ZRANB2
NM_001112808	chr1	74436483	74782704	FPGT-TNNI3K
NM_203350	chr1	71301561	71319560	ZRANB2
NM_001199327	chr1	74436483	74703197	FPGT-TNNI3K
NR_038420	chr1	71284776	71305453	ZRANB2-AS1
NR_040077	chr1	68070558	68441258	GNG12-AS1
